altitude,id,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks,executionTime
,246,K3_FULL,13249,3/5/2019 10:25,41.956057,,-87.668835,60613,Ashland Ave & Belle Plaine Ave,,Ashland Ave & Belle Plaine Ave,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,247,K3_FULL,13361,3/5/2019 10:27,41.795212,,-87.580715,60615,Shore Dr & 55th St,,Shore Dr & 55th St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,248,K3_FULL,13362,3/5/2019 10:24,41.795264,,-87.596471,60615,Woodlawn Ave & 55th St,,Woodlawn Ave & 55th St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,249,K3_FULL,13388,3/5/2019 10:22,41.963982,,-87.638181,60613,Montrose Harbor,,Montrose Harbor,IN_SERVICE,1,In Service,FALSE,31,3/5/2019 10:27
,250,K3_FULL,13269,3/5/2019 10:22,41.936083,,-87.669807,60657,Ashland Ave & Wellington Ave,,Ashland Ave & Wellington Ave,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,251,K3_FULL,13385,3/5/2019 10:26,41.967968,,-87.650001,60640,Clarendon Ave & Leland Ave,,Clarendon Ave & Leland Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,252,K3_FULL,13396,3/5/2019 10:27,41.809835,,-87.599383,60653,Greenwood Ave & 47th St,,Greenwood Ave & 47th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,253,K3_FULL,13104,3/5/2019 10:25,41.968812,,-87.657659,60640,Winthrop Ave & Lawrence Ave,,Winthrop Ave & Lawrence Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,254,K3_FULL,13324,3/5/2019 10:23,41.954383,,-87.648043,60613,Pine Grove Ave & Irving Park Rd,,Pine Grove Ave & Irving Park Rd,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,255,K3_FULL,13309,3/5/2019 10:24,41.867888,,-87.623041,60605,Indiana Ave & Roosevelt Rd,,Indiana Ave & Roosevelt Rd,IN_SERVICE,1,In Service,FALSE,39,3/5/2019 10:27
,256,K3_FULL,13323,3/5/2019 10:26,41.952833,,-87.649993,60613,Broadway & Sheridan Rd,,Broadway & Sheridan Rd,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,257,K3_FULL,13253,3/5/2019 10:26,41.948797,,-87.675278,60613,Lincoln Ave & Waveland Ave,,Lincoln Ave & Waveland Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,258,K3_FULL,13145,3/5/2019 10:23,41.929465,,-87.684158,60647,Logan Blvd & Elston Ave,,Logan Blvd & Elston Ave,IN_SERVICE,1,In Service,FALSE,27,3/5/2019 10:27
,259,K3_FULL,13259,3/5/2019 10:23,41.918121,,-87.696972,60647,California Ave & Francis Pl,,California Ave & Francis Pl,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,260,K3_FULL,13085,3/5/2019 10:25,41.929567,,-87.707857,60647,Kedzie Ave & Milwaukee Ave,,Kedzie Ave & Milwaukee Ave,IN_SERVICE,1,In Service,FALSE,35,3/5/2019 10:27
,261,K3_FULL,13080,3/5/2019 10:26,41.871514,,-87.669886,60612,Hermitage Ave & Polk St,,Hermitage Ave & Polk St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,262,K3_FULL,13414,3/5/2019 10:25,41.827059,On Street,-87.64572,60609,Halsted St & 37th St,,Halsted St & 37th St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,263,K3_FULL,13215,3/5/2019 10:25,41.836208,,-87.613533,60616,Rhodes Ave & 32nd St,,Rhodes Ave & 32nd St,IN_SERVICE,1,In Service,FALSE,10,3/5/2019 10:27
,264,K3_FULL,13048,3/5/2019 10:26,41.886835,,-87.62232,60601,Stetson Ave & South Water St,,Stetson Ave & South Water St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,265,K3_FULL,13346,3/5/2019 10:23,41.822985,,-87.6071,60653,Cottage Grove Ave & Oakwood Blvd,,Cottage Grove Ave & Oakwood Blvd,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,267,K3_FULL,13117,3/5/2019 10:24,41.809443,,-87.591875,60615,Lake Park Ave & 47th St,,Lake Park Ave & 47th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,268,K3_FULL,13328,3/5/2019 10:26,41.911722,,-87.626804,60610,Lake Shore Dr & North Blvd,,Lake Shore Dr & North Blvd,IN_SERVICE,1,In Service,FALSE,39,3/5/2019 10:27
,270,K3_FULL,15498,3/5/2019 10:25,41.75866967,,-87.58688287,60619,Stony Island Ave & 75th St,,Stony Island Ave & 75th St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,271,K3_FULL,13086,3/5/2019 10:24,41.816499,,-87.606582,60653,Cottage Grove Ave & 43rd St,,Cottage Grove Ave & 43rd St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,272,K3_FULL,13219,3/5/2019 10:25,41.838842,,-87.621857,60616,Indiana Ave & 31st St,,Indiana Ave & 31st St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,273,K3_FULL,13150,3/5/2019 10:24,41.857813,,-87.62455,60616,Michigan Ave & 18th St,,Michigan Ave & 18th St,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,274,K3_FULL,13304,3/5/2019 10:23,41.861267,,-87.656625,60608,Racine Ave & 15th St,,Racine Ave & 15th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,275,K3_FULL,13354,3/5/2019 10:27,41.865234,,-87.666507,60608,Ashland Ave & 13th St,,Ashland Ave & 13th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,276,K3_FULL,13258,3/5/2019 10:24,41.91044,,-87.6972,60647,California Ave & North Ave,,California Ave & North Ave,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,277,K3_FULL,13434,3/5/2019 10:26,41.891072,Off Street,-87.666611,60642,Ashland Ave & Grand Ave,,Ashland Ave & Grand Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,278,K3_FULL,13417,3/5/2019 10:22,41.830629,On Street,-87.64129,60609,Wallace St & 35th St,,Wallace St & 35th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,279,K3_FULL,13413,3/5/2019 10:26,41.830661,,-87.647172,60609,Halsted St & 35th St (*),,Halsted St & 35th St (*),IN_SERVICE,1,In Service,FALSE,16,3/5/2019 10:27
,280,K3_FULL,13097,3/5/2019 10:25,41.8378,,-87.65114,60608,Morgan St & 31st St,,Morgan St & 31st St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,281,K3_FULL,13393,3/5/2019 10:24,41.84847,,-87.685109,60608,Western Ave & 24th St,,Western Ave & 24th St,IN_SERVICE,1,In Service,FALSE,7,3/5/2019 10:27
,282,K3_FULL,13161,3/5/2019 10:26,41.864883,,-87.647071,60607,Halsted St & Maxwell St,,Halsted St & Maxwell St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
